label,updated_label,articles,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!","(forall a ((IsGiven(a,b) & IsInLimbo(c)) -> IsInHeaven(e)) -> (exists f (IsGiven(f))","(exists a ((IsGiven(a,b) & IsInLimbo(c)) -> IsInHeaven(e)) -> (exists f (IsGiven(f))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!","(forall c ((IsLivedLike(a,b) -> IsGood(c))) -> (exists e (IsBeautiful(d) -> IsAPlace(e))","(exists c ((IsLivedLike(a,b) -> IsGood(c))) -> (exists e (IsBeautiful(d) -> IsAPlace(e))"
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.","(exists b (forall a (~IsLiked(a,b))) -> (forall d (exists e (exists d (IsHappy(c) -> (IsWornBy(a) & IsInFamily(d)) -> IsInHolidayPhoto(e)))) & (forall (a) forall (b)  IsNotLiked(a,b) ->  IsWornBy(a)) & (forall (a) forall (b)  IsWornBy(a) ->  IsNotLiked(a,b))","(exists b (exists a (~IsLiked(a,b))) -> (exists e (exists d (IsHappy(c) -> (IsWornBy(a) & IsInFamily(d)) -> IsInHolidayPhoto(e))) & (forall (a) forall (b)  IsNotLiked(a,b) ->  IsWornBy(a)) & (forall (a) forall (b)  IsWornBy(a) ->  IsNotLiked(a,b))"
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?",(forall b (IsDone(b)) -> (exists c (IsSpooky(c) -> IsMorallyJustifiable(c)),(exists b (IsDone(b)) -> (exists c (IsSpooky(c) -> IsMorallyJustifiable(c))
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",(exists b (exists a (IsTeacher(a) -> IsBestClass(b))) -> (forall d (forall e (IsBest(d) -> IsClass(e))),(exists b (exists a (IsTeacher(a) -> IsBestClass(b))) -> (exists d (exists e (IsBest(d) -> IsClass(e)))
0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!,(IsBlonde(a) -> (IsThere(b) -> IsSale(c),(IsBlonde(a) -> (IsThere(b) -> IsSale(c)
0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",(~IsBelieveIn(a) -> (IsBurnInHell(a) -> IsForever(d),(~IsBelieveIn(a) -> (IsBurnInHell(a) -> IsForever(d)
0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",() -> (),() -> ()
0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,"(forall b (exists a (IsGoingToHaveLunch(a,b))) -> (exists c (exists a (forall b (IsBelieve(c) -> (IsDitching(a) & IsNew(b)))))","(exists b (exists a (IsGoingToHaveLunch(a,b))) -> (exists c (exists b (IsBelieve(c) -> (IsDitching(a) & IsNew(b))))"
0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",() -> (),() -> ()
