label,updated_label,articles,Logical Form,Logical Form 2
0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!","(exists e (forall b ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))) -> (forall a (exists f (IsGiven(f,a))))","(exists c (exists e (exists b (exists a ((IsGiven(b,a) and IsInLimbo(c)) and IsInHeaven(e)))))) -> (exists f (exists a (IsGiven(f,a))))"
0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!","(forall c (IsLivedExactlyLike(a,c))) -> (exists e (IsBeautiful(d) and IsAPlace(e)))","(exists c (exists a (IsLivedExactlyLike(a,c)))) -> (exists d (exists e (IsBeautiful(d) and IsAPlace(e))))"
0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.",(IsKnitted(a) and IsFor(b)) -> (IsWorn(c) and MakesHappy(a)),(exists b (exists a (IsKnitted(a) and IsFor(b)))) -> (exists c (exists a (IsWorn(c) and MakesHappy(a))))
0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?","(IsInSpookyCabin(b) & (forall c (forall a ( ShouldBreakInto(c,a) ->  IsInSpookyCabin(a))))) -> (ShouldBreakInto(c,a))","(exists b (IsInSpookyCabin(b)) & (forall d (forall e ( ShouldBreakInto(d,e) ->  IsInSpookyCabin(e))))) -> (exists c (exists a (ShouldBreakInto(c,a))))"
0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",(exists c (exists b (IsTeacherOf(b) and IsBestClass(c)))) -> (forall a (IsBestClass(a))),(exists c (exists b (IsTeacherOf(b) and IsBestClass(c)))) -> (exists a (IsBestClass(a)))
1,,A white and black dog catching a Frisbee. It follows that the dog is playing with a toy thrown by a person.,"(forall a (IsCaught(a,b))) -> (exists c (IsPlaying(c) and (Threw(d,e) and IsTheSamePerson(d,e))))","(exists b (exists a (IsCaught(a,b)))) -> (exists c (exists d (exists e (IsPlaying(c) and (Threw(d,e) and IsTheSamePerson(d,e))))))"
1,,"A firefighter is putting wooden blocks under a crushed blue car. Therefore, the firefighter is putting something under the car.","(forall c (IsPutting(a,c) and IsUnder(b))) -> (exists d (exists a (IsPutting(a,d) and IsUnder(b))))","(exists c (exists b (exists a (IsPutting(a,c) and IsUnder(b))))) -> (exists d (exists b (exists a (IsPutting(a,d) and IsUnder(b)))))"
1,,"Hispanic woman wearing a red plaid shirt works on sewing an article of clothing. As a consequence, woman wearing a shirt sewing.",(forall c (exists b (IsHispanic(a) and IsWearingRedPlaidShirt(b) and WorksOnSewing(c))) & (forall e (forall b (  IsWearingRedPlaidShirt(b) ->  IsWearing(e)))) & (forall e (forall b ( IsWearing(e) ->   IsWearingRedPlaidShirt(b)))) & (forall c (forall f (  WorksOnSewing(c) ->   IsSewing(f)))) & (forall c (forall f (  IsSewing(f) ->   WorksOnSewing(c))))) -> (exists f (forall e (IsWearing(e) and IsSewing(f)))),(exists c (exists b (exists a (IsHispanic(a) and IsWearingRedPlaidShirt(b) and WorksOnSewing(c)))) & (forall g (forall h (  IsWearingRedPlaidShirt(g) ->  IsWearing(h)))) & (forall j (forall i ( IsWearing(i) ->   IsWearingRedPlaidShirt(j)))) & (forall l (forall k (  WorksOnSewing(k) ->   IsSewing(l)))) & (forall m (forall n (  IsSewing(m) ->   WorksOnSewing(n))))) -> (exists e (exists f (IsWearing(e) and IsSewing(f))))
1,,"A group of people walking down the street with one on the phone in a green hat. Thus, people are outside.",(forall b (IsOutside(b))) -> (exists d (exists c (IsOnPhone(c) and IsWearingGreenHat(d)))),(exists b (IsOutside(b))) -> (exists c (exists d (IsOnPhone(c) and IsWearingGreenHat(d))))
1,,Six children run towards a soccer ball on an athletic field. It follows that children run towards a soccer ball.,"(exists b (IsRunTowards(b,a))) -> (forall c (IsRunTowards(c,a)))","(exists b (exists a (IsRunTowards(b,a)))) -> (exists c (exists a (IsRunTowards(c,a))))"
