,label,updated_label,articles,Logical Form,Logical Form 2,result
0,0,false causality,"Giving 10% of your income to the Church will free a child’s soul from Limbo into Heaven, so give your money!","(forall a ( (IsGiven(a,b) & IsInLimbo(c)) -> IsInHeaven(e) )) -> (exists f ( IsGiven(f) -> ))","(exists a ( (IsGiven(a,b) & IsInLimbo(c)) -> IsInHeaven(e) )) -> (exists f ( IsGiven(f) -> ))",
1,0,appeal to emotion,"If everyone lived his or her life exactly like Jesus lived his life, the world would be a beautiful place!","( IsLivedLike(a,b) ) -> ( IsBeautiful(d) -> IsAPlace(e) )","( IsLivedLike(a,b) ) -> ( IsBeautiful(d) -> IsAPlace(e) )",LF
2,0,appeal to emotion,"I know you don’t like the kitty-cat sweater that Grandma knitted for you, but she worked so hard on it and it will make her happy to see you wear it in the family holiday photo.","(exists b (forall a ( ~IsLiked(a,b) ))) -> (forall d (exists e (exists d ( IsHappy(c) -> (IsWornBy(a) & IsInFamily(d)) -> IsInHolidayPhoto(e))))) & (forall (b) forall (a)  IsNotLiked(a,b) ->  IsWornBy(a)) & (forall (b) forall (a)  IsWornBy(a) ->  IsNotLiked(a,b))","(exists b (exists a ( ~IsLiked(a,b) ))) -> (exists e (exists d ( IsHappy(c) -> (IsWornBy(a) & IsInFamily(d)) -> IsInHolidayPhoto(e)))) & (forall (b) forall (a)  IsNotLiked(a,b) ->  IsWornBy(a)) & (forall (b) forall (a)  IsWornBy(a) ->  IsNotLiked(a,b))",
3,0,ad populum,"Dave wants you to break into the spooky cabin with him. “Everyone does it,” he claims. What fallacy has he committed?",( IsDone(a) ) -> ( IsSpooky(c) -> IsMorallyJustifiable(c) ),( IsDone(a) ) -> ( IsSpooky(c) -> IsMorallyJustifiable(c) ),LF
4,0,fallacy of credibility,"Ms. Drayer, the smartest person in the universe, says the debate is the best class, therefore it is.",(exists b (exists a ( IsTeacher(a) & IsBestClass(b)))) -> (forall d (forall e ( IsBest(d) -> IsClass(e) ))),(exists b (exists a ( IsTeacher(a) & IsBestClass(b)))) -> (exists d (exists e ( IsBest(d) -> IsClass(e) ))),LF
5,0,faulty generalization,Why did the blond cross the road?  Because she saw a shoe sale!,( IsBlonde(a) -> ) -> ( IsThere(b) -> IsSale(c) ),( IsBlonde(a) -> ) -> ( IsThere(b) -> IsSale(c) ),
6,0,appeal to emotion,"Timmy: Mom, what if I don’t believe in God?
Mom: Then you burn in Hell forever.  Why do you ask?
Timmy: No reason.
",( ~IsBelieveIn(a) ) -> ( IsBurnInHell(a) -> IsForever(d) ),( ~IsBelieveIn(a) ) -> ( IsBurnInHell(a) -> IsForever(d) ),LF
7,0,false dilemma,"""If you never gave money to charity, then you must be a greedy millionaire."" What is this?",() -> (),() -> (),
8,0,fallacy of extension,Caroline says that she is going to have lunch with the new girl. Jenna says that she can't believe that Caroline is ditching her old friends for the new girl.,"(forall b (exists a ( IsGoingToHaveLunch(a,b) ))) -> (exists c (exists a (forall b ( IsBelieve(c) -> (IsDitching(a) & IsNew(b)) ))))","(exists b (exists a ( IsGoingToHaveLunch(a,b) ))) -> (exists c (exists b ( IsBelieve(c) -> (IsDitching(a) & IsNew(b)) )))",
9,0,faulty generalization,"""You can never give anyone a break. If you do, they'll walk all over you.""",() -> (),() -> (),
10,1,,A white and black dog catching a Frisbee. It follows that the dog is playing with a toy thrown by a person.,"(forall a ( IsCaught(a,b) )) -> (exists e ( IsThrown(c,d) -> IsAt(c,e)))","(exists a ( IsCaught(a,b) )) -> (exists e ( IsThrown(c,d) -> IsAt(c,e)))",LF
11,1,,"A firefighter is putting wooden blocks under a crushed blue car. Therefore, the firefighter is putting something under the car.","(exists c (forall b (exists a ( IsPutting(a,b) -> IsUnder(a,c))))) -> (forall f (exists e (forall d ( IsPutting(d,e) -> IsUnder(d,f)))))","(exists c (exists b (exists a ( IsPutting(a,b) -> IsUnder(a,c))))) -> (exists f (exists e (exists d ( IsPutting(d,e) -> IsUnder(d,f)))))",LF
12,1,,"Hispanic woman wearing a red plaid shirt works on sewing an article of clothing. As a consequence, woman wearing a shirt sewing.",(exists b (exists a ( IsHispanic(a) -> WearsRedPlaidShirt(b) ))) -> (forall e (forall d (forall c ( IsWearing(c) -> IsSewing(d) -> IsAnArticleOfClothing(e) )))),(exists b (exists a ( IsHispanic(a) -> WearsRedPlaidShirt(b) ))) -> (exists e (exists d (exists c ( IsWearing(c) -> IsSewing(d) -> IsAnArticleOfClothing(e) )))),LF
13,1,,"A group of people walking down the street with one on the phone in a green hat. Thus, people are outside.","(forall a ( IsWalkedDown(a,b) )) -> (exists c ( IsOutside(c) ))","(exists a ( IsWalkedDown(a,b) )) -> (exists c ( IsOutside(c) ))",LF
14,1,,Six children run towards a soccer ball on an athletic field. It follows that children run towards a soccer ball.,"(exists b ( IsRunTowards(b,a) )) -> (forall c ( IsRunTowards(c,a) ))","(exists b ( IsRunTowards(b,a) )) -> (exists c ( IsRunTowards(c,a) ))",LF
15,1,,"A man with no shirt and purple pants crouches while tampering with a metallic object. Consequently, shirtless man tampers with metal thing.",(forall b (forall a ( IsNoShirt(a) -> IsTampering(b) ))) -> (exists d (exists c ( IsTamperedWith(c) -> IsMetal(d) ))),(exists b (exists a ( IsNoShirt(a) -> IsTampering(b) ))) -> (exists d (exists c ( IsTamperedWith(c) -> IsMetal(d) ))),LF
16,1,,A smiling girl in glasses and a blue-gray scarf with a smiling girl in a black coat leaning on her shoulder. This implies that the girls are smiling.,( IsInGlasses(a) -> IsSmiling(c) ) -> ( IsSmiling(d) ),( IsInGlasses(a) -> IsSmiling(c) ) -> ( IsSmiling(d) ),LF
17,1,,"A man in a yellow tie is rubbing the back of his neck. Hence, a man is rubbing his neck.",(forall b ( IsRubbing(b) )) -> (exists d ( IsInYellowTie(c) -> IsRubbingNeck(d) )),(exists b ( IsRubbing(b) )) -> (exists d ( IsInYellowTie(c) -> IsRubbingNeck(d) )),LF
18,1,,"A baseball player gets ready to catch a fly ball near the outfield fence. Therefore, a person is playing baseball outdoors.","(exists b ( IsNear(a,b) )) -> (forall e ( IsPlayingBaseball(c) & IsOutdoors(e) ))","(exists b ( IsNear(a,b) )) -> (exists e ( IsPlayingBaseball(c) & IsOutdoors(e) ))",
